Movie Name,Scraped Name,Budget,Director,Writer,Actor,Rating,OtherInfo,Date,DirectorsRating,WritersRating,TotalFollowers,Revenue
Call+Response,Call + Response,200000,['Justin Dillon'],"['Justin Dillon', 'Shadd Williams']","['Madeleine Albright', 'Kevin Bales', 'David Batstone']",7.4,"2008
PG-13
1h 26m",2008,7,7,6.445627241,"$212,989 "
Hugo,Hugo,180000000,['Martin Scorsese'],"['John Logan', 'Brian Selznick']","['Asa Butterfield', 'ChloÃ« Grace Moretz', 'Christopher Lee']",7.5,"2011
PG
2h 6m",2011,8,7.166666667,6.698970004,"$180,047,784 "
Doctor Strange,Doctor Strange,165000000,['Scott Derrickson'],"['Jon Spaihts', 'Scott Derrickson', 'C. Robert Cargill']","['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams']",7.5,"2016
PG-13
1h 55m",2016,6.333333333,6.666666667,14.00984099,"$676,343,174 "
Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,150000000,['David Yates'],"['Michael Goldenberg', 'J.K. Rowling']","['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']",7.5,"2007
PG-13
2h 18m",2007,6.666666667,7,14.5563025,"$939,619,849 "
Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World,135000000,['Peter Weir'],"['Patrick O Brian', 'Peter Weir', 'John Collee']","['Russell Crowe', 'Paul Bettany', 'Billy Boyd']",7.5,"2003
PG-13
2h 18m",2003,7.666666667,6.888888889,12.30103,"$212,912,137 "
Miami Vice,Miami Vice,135000000,['Anthony Yerkovich'],"['Don Johnson', 'Philip Michael Thomas', 'Saundra Santiago']","['Don Johnson', 'Philip Michael Thomas', 'Saundra Santiago']",7.5,"TV Series
1984â1989
TV-14
48m",1984,7,7,13.0255418,"$164,920,076 "
The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,130000000,['Francis Lawrence'],"['Simon Beaufoy', 'Michael Arndt', 'Suzanne Collins']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",7.5,"2013
PG-13
2h 26m",2013,7,7,13.09847067,"$864,808,014 "
Total Recall,Total Recall,125000000,['Paul Verhoeven'],"['Philip K. Dick', 'Ronald Shusett', 'Dan O Bannon']","['Arnold Schwarzenegger', 'Sharon Stone', 'Michael Ironside']",7.5,"1990
R
1h 53m",1990,7,7.555555556,17.65734274,"$211,856,088 "
The Aviator,The Aviator,110000000,['Martin Scorsese'],['John Logan'],"['Leonardo DiCaprio', 'Cate Blanchett', 'Kate Beckinsale']",7.5,"2004
PG-13
2h 50m",2004,8,7.333333333,17.15787182,"$208,370,892 "
Jin lÃÂ­ng shÃÂ­ san chai,The Flowers of War,100000000,['Yimou Zhang'],"['Heng Liu', 'Geling Yan']","['Christian Bale', 'Ni Ni', 'Xinyi Zhang']",7.5,"2011
R
2h 26m",2011,7,7,14.35972547,#N/A
Gangs of New York,Gangs of New York,97000000,['Martin Scorsese'],"['Jay Cocks', 'Steven Zaillian', 'Kenneth Lonergan']","['Leonardo DiCaprio', 'Cameron Diaz', 'Daniel Day-Lewis']",7.5,"2002
R
2h 47m",2002,8,7.222222222,17.85578559,"$183,124,621 "
Contact,Contact,90000000,['Robert Zemeckis'],"['James V. Hart', 'Michael Goldenberg', 'Carl Sagan']","['Jodie Foster', 'Matthew McConaughey', 'Tom Skerritt']",7.5,"1997
PG
2h 30m",1997,8,7,15.25631356,"$165,900,000 "
The Saint,The Saint,90000000,"['Roger Moore', 'Ivor Dean', 'Leslie Crawford']","['Roger Moore', 'Ivor Dean', 'Leslie Crawford']","['Roger Moore', 'Ivor Dean', 'Leslie Crawford']",7.5,"TV Series
1962â1969
TV-PG
50m",1962,7,7,7.58876071,"$169,400,000 "
Enemy at the Gates,Enemy at the Gates,85000000,['Jean-Jacques Annaud'],"['Jean-Jacques Annaud', 'Alain Godard']","['Jude Law', 'Ed Harris', 'Joseph Fiennes']",7.5,"2001
R
2h 11m",2001,7,7,7.951104278,"$96,971,293 "
Scott Pilgrim vs. The World,Scott Pilgrim vs. the World,85000000,['Edgar Wright'],"['Michael Bacall', 'Edgar Wright', 'Bryan Lee O Malley']","['Michael Cera', 'Mary Elizabeth Winstead', 'Kieran Culkin']",7.5,"2010
PG-13
1h 52m",2010,7,7,9.231724383,"$49,135,632 "
The Greatest Showman,The Greatest Showman,84000000,['Michael Gracey'],"['Jenny Bicks', 'Bill Condon']","['Hugh Jackman', 'Michelle Williams', 'Zac Efron']",7.5,"2017
PG
1h 45m",2017,7,6.833333333,21.27669153,"$429,892,670 "
Munich,Munich,75000000,['Steven Spielberg'],"['Tony Kushner', 'Eric Roth', 'George Jonas']","['Eric Bana', 'Daniel Craig', 'Marie-JosÃ©e Croze']",7.5,"2005
R
2h 44m",2005,8.333333333,7.333333333,9.312177356,"$131,492,772 "
The Abyss,The Abyss,70000000,['James Cameron'],['James Cameron'],"['Ed Harris', 'Mary Elizabeth Mastrantonio', 'Michael Biehn']",7.5,"1989
PG-13
2h 20m",1989,8,8,7.188280072,"$54,763,545 "
Doom,Indiana Jones and the Temple of Doom,70000000,['Steven Spielberg'],"['Willard Huyck', 'Gloria Katz', 'George Lucas']","['Harrison Ford', 'Kate Capshaw', 'Ke Huy Quan']",7.5,"1984
PG
1h 58m",1984,8.333333333,7.333333333,3.834611421,"$58,757,178 "
Last Man Standing,Last Man Standing,67000000,['Jack Burditt'],"['Tim Allen', 'Nancy Travis', 'Hector Elizondo']","['Tim Allen', 'Nancy Travis', 'Hector Elizondo']",7.5,"TV Series
2011â2021
TV-14
30m",2011,7,7,11.75686118,"$18,149,997 "
Ice Age,Ice Age,65000000,"['Chris Wedge', 'Carlos Saldanha']","['Michael J. Wilson', 'Michael Berg', 'Peter Ackerman']","['Denis Leary', 'John Leguizamo', 'Ray Romano']",7.5,"2002
PG
1h 21m",2002,6.333333333,6.444444444,14.61168083,"$386,116,343 "
Les MisÃÂ©rables,Les MisÃ©rables,65000000,['Tom Hooper'],"['William Nicholson', 'Alain Boublil', 'Claude-Michel SchÃ¶nberg']","['Hugh Jackman', 'Russell Crowe', 'Anne Hathaway']",7.5,"2012
PG-13
2h 38m",2012,7.333333333,7.111111111,20.96848295,#N/A
Total Recall,Total Recall,65000000,['Paul Verhoeven'],"['Philip K. Dick', 'Ronald Shusett', 'Dan O Bannon']","['Arnold Schwarzenegger', 'Sharon Stone', 'Michael Ironside']",7.5,"1990
R
1h 53m",1990,7,7.555555556,17.65734274,"$211,856,088 "
Eyes Wide Shut,Eyes Wide Shut,65000000,['Stanley Kubrick'],"['Stanley Kubrick', 'Frederic Raphael', 'Arthur Schnitzler']","['Tom Cruise', 'Nicole Kidman', 'Todd Field']",7.5,"1999
TV-MA
2h 39m",1999,8,7.333333333,16.1931246,"$104,264,617 "
Perfume: The Story of a Murderer,Perfume: The Story of a Murderer,63700000,['Tom Tykwer'],"['Andrew Birkin', 'Bernd Eichinger', 'Tom Tykwer']","['Ben Whishaw', 'Dustin Hoffman', 'Alan Rickman']",7.5,"2006
R
2h 27m",2006,7,7,8.598297954,"$133,603,463 "
Collateral,Collateral,60000000,['Michael Mann'],['Stuart Beattie'],"['Tom Cruise', 'Jamie Foxx', 'Jada Pinkett Smith']",7.5,"2004
R
2h",2004,7,8,21.27184161,"$217,602,967 "
DevilÃ¢ÂÂs Advocate,The Devil's Advocate,57000000,['Taylor Hackford'],"['Andrew Neiderman', 'Jonathan Lemkin', 'Tony Gilroy']","['Keanu Reeves', 'Al Pacino', 'Charlize Theron']",7.5,"1997
R
2h 24m",1997,7,7,9.281941933,#N/A
Grindhouse,Grindhouse,53000000,"['Robert Rodriguez', 'Eli Roth', 'Quentin Tarantino']","['Robert Rodriguez', 'Rob Zombie', 'Edgar Wright']","['Kurt Russell', 'Rose McGowan', 'Danny Trejo']",7.5,"2007
R
3h 11m",2007,7.222222222,6.888888889,10.73614143,"$50,187,789 "
A Man Called Otto,A Man Called Otto,50000000,['Marc Forster'],"['Fredrik Backman', 'Hannes Holm', 'David Magee']","['Tom Hanks', 'Mariana TreviÃ±o', 'Rachel Keller']",7.5,"2022
PG-13
2h 6m",2022,7,7,7,"$108,641,148 "
The Life of David Gale,The Life of David Gale,50000000,['Alan Parker'],['Charles Randolph'],"['Kevin Spacey', 'Kate Winslet', 'Laura Linney']",7.5,"2003
R
2h 10m",2003,6.666666667,6.666666667,17.31960568,"$28,920,188 "
King Richard,King Richard,50000000,['Reinaldo Marcus Green'],['Zach Baylin'],"['Will Smith', 'Aunjanue Ellis-Taylor', 'Jon Bernthal']",7.5,"2021
PG-13
2h 24m",2021,7,6.333333333,14.40140054,"$37,994,866 "
Richard Jewell,Richard Jewell,45000000,['Clint Eastwood'],"['Billy Ray', 'Marie Brenner', 'Kent Alexander']","['Paul Walter Hauser', 'Sam Rockwell', 'Brandon Stanley']",7.5,"2019
R
2h 11m",2019,8,7,11.83058951,"$43,092,210 "
Sleepers,Sleepers,44000000,['Barry Levinson'],"['Lorenzo Carcaterra', 'Barry Levinson']","['Robert De Niro', 'Kevin Bacon', 'Brad Pitt']",7.5,"1996
R
2h 27m",1996,7.333333333,6.833333333,17.46834733,"$165,600,852 "
28 Days,28 Days Later,43000000,['Danny Boyle'],['Alex Garland'],"['Cillian Murphy', 'Naomie Harris', 'Christopher Eccleston']",7.5,"2002
R
1h 53m",2002,7.666666667,7,16.85508282,"$62,063,972 "
Lone Survivor,Lone Survivor,40000000,['Peter Berg'],"['Peter Berg', 'Marcus Luttrell', 'Patrick Robinson']","['Mark Wahlberg', 'Taylor Kitsch', 'Emile Hirsch']",7.5,"2013
R
2h 1m",2013,7.333333333,6.888888889,15.4268649,"$149,804,632 "
A Time to Kill,A Time to Kill,40000000,['Joel Schumacher'],"['John Grisham', 'Akiva Goldsman']","['Matthew McConaughey', 'Sandra Bullock', 'Samuel L. Jackson']",7.5,"1996
R
2h 29m",1996,7,7.166666667,6.903089987,"$152,266,007 "
The Impossible,The Impossible,40000000,['J.A. Bayona'],"['Sergio G. SÃ¡nchez', 'MarÃ­a BelÃ³n']","['Naomi Watts', 'Ewan McGregor', 'Tom Holland']",7.5,"2012
PG-13
1h 54m",2012,7,7,7.826074803,"$169,590,606 "
The Town,The Town,37000000,['Ben Affleck'],"['Peter Craig', 'Ben Affleck', 'Aaron Stockard']","['Ben Affleck', 'Rebecca Hall', 'Jon Hamm']",7.5,"2010
R
2h 5m",2010,7,7.333333333,8.124178055,"$152,566,881 "
Queen of the Desert,"The Adventures of Priscilla, Queen of the Desert",36000000,['Stephan Elliott'],['Stephan Elliott'],"['Hugo Weaving', 'Guy Pearce', 'Terence Stamp']",7.5,"1994
R
1h 44m",1994,6,6,7.963794531,"$1,578,543 "
Batman,Batman,35000000,['Tim Burton'],"['Bob Kane', 'Sam Hamm', 'Warren Skaaren']","['Michael Keaton', 'Jack Nicholson', 'Kim Basinger']",7.5,"1989
PG-13
2h 6m",1989,7.333333333,6.888888889,15.59333592,"$411,348,924 "
Saving Mr. Banks,Saving Mr. Banks,35000000,['John Lee Hancock'],"['Kelly Marcel', 'Sue Smith']","['Emma Thompson', 'Tom Hanks', 'Annie Rose Buckley']",7.5,"2013
PG-13
2h 5m",2013,7,6.666666667,14.59032902,"$114,962,525 "
Source Code,Source Code,32000000,['Duncan Jones'],['Ben Ripley'],"['Jake Gyllenhaal', 'Michelle Monaghan', 'Vera Farmiga']",7.5,"2011
PG-13
1h 33m",2011,6.5,5.666666667,19.20411998,"$140,428,499 "
42,42,31000000,['Brian Helgeland'],['Brian Helgeland'],"['Chadwick Boseman', 'T.R. Knight', 'Harrison Ford']",7.5,"2013
PG-13
2h 8m",2013,6.666666667,7.333333333,3.834611421,"$97,470,701 "
The Hunt for Red October,The Hunt for Red October,30000000,['John McTiernan'],"['Tom Clancy', 'Larry Ferguson', 'Donald E. Stewart']","['Sean Connery', 'Alec Baldwin', 'Scott Glenn']",7.5,"1990
PG
2h 15m",1990,7.333333333,6.444444444,11.65471546,"$200,500,000 "
Legends of the Fall,Legends of the Fall,30000000,['Edward Zwick'],"['Susan Shilliday', 'William D. Wittliff', 'Jim Harrison']","['Brad Pitt', 'Anthony Hopkins', 'Aidan Quinn']",7.5,"1994
R
2h 13m",1994,7.333333333,6.555555556,9.551205944,"$160,502,573 "
Blow,Blow,30000000,['Ted Demme'],"['Bruce Porter', 'David McKenna', 'Nick Cassavetes']","['Johnny Depp', 'PenÃ©lope Cruz', 'Franka Potente']",7.5,"2001
R
2h 4m",2001,7,7,11.22552637,"$83,282,296 "
Secondhand Lions,Secondhand Lions,30000000,['Tim McCanlies'],['Tim McCanlies'],"['Haley Joel Osment', 'Michael Caine', 'Robert Duvall']",7.5,"2003
PG
1h 49m",2003,6.333333333,7,11.99750455,"$47,902,566 "
Stranger Than Fiction,Stranger Than Fiction,30000000,['Marc Forster'],['Zach Helm'],"['Will Ferrell', 'Emma Thompson', 'Dustin Hoffman']",7.5,"2006
PG-13
1h 53m",2006,7,7,13.04896687,"$53,572,822 "
Midnight Run,Midnight Run,30000000,['Martin Brest'],['George Gallo'],"['Robert De Niro', 'Charles Grodin', 'Yaphet Kotto']",7.5,"1988
R
2h 6m",1988,7,6.333333333,8.681422156,"$81,613,606 "
"Are You There God? ItÃ¢ÂÂs Me, Margaret","Are You There God? It's Me, Margaret.",30000000,['Kelly Fremon Craig'],"['Kelly Fremon Craig', 'Judy Blume']","['Abby Ryder Fortson', 'Rachel McAdams', 'Kathy Bates']",7.5,"2023
PG-13
1h 46m",2023,7,6.666666667,14.08160651,#N/A
The Assassination of Jesse James by the Coward Ã¢ÂÂ¦,The Assassination of Jesse James by the Coward Robert Ford,30000000,['Andrew Dominik'],"['Andrew Dominik', 'Ron Hansen']","['Brad Pitt', 'Casey Affleck', 'Sam Shepard']",7.5,"2007
R
2h 40m",2007,6.5,6.75,11.07918125,#N/A
Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,28000000,['Steven Spielberg'],"['Willard Huyck', 'Gloria Katz', 'George Lucas']","['Harrison Ford', 'Kate Capshaw', 'Ke Huy Quan']",7.5,"1984
PG
1h 58m",1984,8.333333333,7.333333333,3.834611421,"$333,080,271 "
The Omen,The Omen,25000000,['Richard Donner'],['David Seltzer'],"['Gregory Peck', 'Lee Remick', 'Harvey Stephens']",7.5,"1976
R
1h 51m",1976,6.666666667,7,1.079181246,"$119,295,584 "
The Hours,The Hours,25000000,['Stephen Daldry'],"['Michael Cunningham', 'David Hare']","['Meryl Streep', 'Nicole Kidman', 'Julianne Moore']",7.5,"2002
PG-13
1h 50m",2002,7,6.583333333,19.12450422,"$97,030,468 "
Tora! Tora! Tora!,Tora! Tora! Tora!,25000000,"['Richard Fleischer', 'Kinji Fukasaku', 'Toshio Masuda']","['Larry Forrester', 'Hideo Oguni', 'RyÃ»zÃ´ Kikushima']","['Martin Balsam', 'SÃ´ Yamamura', 'Jason Robards']",7.5,"1970
G
2h 24m",1970,7,7.166666667,1.380211242,"$29,548,291 "
The Fisher King,The Fisher King,24000000,['Terry Gilliam'],['Richard LaGravenese'],"['Jeff Bridges', 'Robin Williams', 'Adam Bryant']",7.5,"1991
R
2h 17m",1991,7.333333333,7,0,"$41,798,224 "
The Hate U Give,The Hate U Give,23000000,['George Tillman Jr.'],"['Audrey Wells', 'Angie Thomas']","['Amandla Stenberg', 'Regina Hall', 'Russell Hornsby']",7.5,"2018
PG-13
2h 13m",2018,7,6.833333333,17.76937733,"$35,067,665 "
Nocturnal Animals,Nocturnal Animals,22500000,['Tom Ford'],"['Tom Ford', 'Austin Wright']","['Amy Adams', 'Jake Gyllenhaal', 'Michael Shannon']",7.5,"2016
R
1h 56m",2016,7,7,16.8711057,"$32,398,681 "
The Conjuring,The Conjuring,20000000,['James Wan'],"['Chad Hayes', 'Carey W. Hayes']","['Patrick Wilson', 'Vera Farmiga', 'Ron Livingston']",7.5,"2013
R
1h 52m",2013,7,6.5,11.6599162,"$316,479,150 "
Babel,Babel,20000000,['Alejandro G. IÃ±Ã¡rritu'],"['Guillermo Arriaga', 'Alejandro G. IÃ±Ã¡rritu']","['Brad Pitt', 'Cate Blanchett', 'Gael GarcÃ­a Bernal']",7.5,"2006
R
2h 23m",2006,7.666666667,7.333333333,11.98855896,"$132,121,212 "
Doubt,Doubt,20000000,['John Patrick Shanley'],['John Patrick Shanley'],"['Meryl Streep', 'Philip Seymour Hoffman', 'Amy Adams']",7.5,"2008
PG-13
1h 44m",2008,7,6.333333333,14.61691606,"$53,191,101 "
The Covenant,The Covenant,20000000,['Guy Ritchie'],"['Guy Ritchie', 'Ivan Atkinson', 'Marn Davies']","['Jake Gyllenhaal', 'Dar Salim', 'Sean Sagar']",7.5,"2023
R
2h 3m",2023,7.666666667,7,16.95770304,"$38,164,784 "
"Synecdoche, New York","Synecdoche, New York",20000000,['Charlie Kaufman'],['Charlie Kaufman'],"['Philip Seymour Hoffman', 'Samantha Morton', 'Michelle Williams']",7.5,"2008
R
2h 4m",2008,7,7.333333333,14.13717998,"$4,383,538 "
Survivor,Survivor,20000000,['Charlie Parsons'],"['Jeff Probst', 'Lillian Morris', 'Jon Dalton']","['Jeff Probst', 'Lillian Morris', 'Jon Dalton']",7.5,"TV Series
2000â
TV-PG
1h",2000,7,7,11.63607624,"$1,703,281 "
The Book Thief,The Book Thief,19000000,['Brian Percival'],"['Markus Zusak', 'Michael Petroni']","['Sophie NÃ©lisse', 'Geoffrey Rush', 'Emily Watson']",7.5,"2013
PG-13
2h 11m",2013,7,6.666666667,6.901332919,"$76,086,711 "
Fear and Loathing in Las Vegas,Fear and Loathing in Las Vegas,18500000,['Terry Gilliam'],"['Hunter S. Thompson', 'Terry Gilliam', 'Tony Grisoni']","['Johnny Depp', 'Benicio Del Toro', 'Tobey Maguire']",7.5,"1998
R
1h 58m",1998,7.333333333,6.777777778,17.70049604,"$13,711,903 "
Ne le dis ÃÂ  personne,Tell No One,18500000,['Guillaume Canet'],"['Guillaume Canet', 'Harlan Coben', 'Philippe Lefebvre']","['FranÃ§ois Cluzet', 'Marie-JosÃ©e Croze', 'AndrÃ© Dussollier']",7.5,"2006
Not Rated
2h 11m",2006,7,7,0,#N/A
The Art of Racing in the Rain,The Art of Racing in the Rain,18000000,['Simon Curtis'],"['Mark Bomback', 'Garth Stein']","['Kevin Costner', 'Milo Ventimiglia', 'Jackie Minns']",7.5,"2019
PG
1h 49m",2019,6.666666667,7,15.03342376,"$33,773,963 "
127 Hours,127 Hours,18000000,['Danny Boyle'],"['Danny Boyle', 'Simon Beaufoy', 'Aron Ralston']","['James Franco', 'Amber Tamblyn', 'Kate Mara']",7.5,"2010
R
1h 34m",2010,7.666666667,7.111111111,13.45044782,"$60,217,171 "
Life as a House,Life as a House,18000000,['Irwin Winkler'],['Mark Andrus'],"['Hayden Christensen', 'Kevin Kline', 'Kristin Scott Thomas']",7.5,"2001
R
2h 5m",2001,6.333333333,6.666666667,8.487144034,"$23,889,158 "
Miss Sloane,Miss Sloane,18000000,['John Madden'],['Jonathan Perera'],"['Jessica Chastain', 'Mark Strong', 'Gugu Mbatha-Raw']",7.5,"2016
R
2h 12m",2016,7,7,12.09864373,"$7,768,259 "
A Quiet Place,A Quiet Place,17000000,['John Krasinski'],"['Bryan Woods', 'Scott Beck', 'John Krasinski']","['Emily Blunt', 'John Krasinski', 'Millicent Simmonds']",7.5,"2018
PG-13
1h 30m",2018,7,6.666666667,17.33010925,"$334,876,670 "
Sideways,Sideways,17000000,['Alexander Payne'],"['Rex Pickett', 'Alexander Payne', 'Jim Taylor']","['Paul Giamatti', 'Thomas Haden Church', 'Virginia Madsen']",7.5,"2004
R
2h 7m",2004,7,7,10.30767721,"$109,726,800 "
A Simple Plan,A Simple Plan,17000000,['Sam Raimi'],['Scott B. Smith'],"['Bill Paxton', 'Billy Bob Thornton', 'Bridget Fonda']",7.5,"1998
R
2h 1m",1998,7,6,5.860227172,"$16,316,273 "
L'illusionniste,The Illusionist,17000000,['Sylvain Chomet'],"['Sylvain Chomet', 'Jacques Tati']","['Jean-Claude Donda', 'Eilidh Rankin', 'Duncan MacNeil']",7.5,"2010
PG
1h 20m",2010,7,7,4.401452239,"$8,609,949 "
The Illusionist,The Illusionist,16500000,['Neil Burger'],"['Neil Burger', 'Steven Millhauser']","['Edward Norton', 'Jessica Biel', 'Paul Giamatti']",7.5,"2006
PG-13
1h 50m",2006,7,6.416666667,15.78044823,"$83,792,062 "
